codigo;codigo_legacy;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;apartado;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
01.02.01.040;CT-01-04-050;Actuaciones previas;Levantamiento de medidas del inmueble existente.;Levantamiento en sitio de las medidas del inmueble existente, con toma de dimensiones de ambientes, alturas libres, vanos, y posición de instalaciones y elementos estructurales visibles, para elaborar el plano de estado actual sobre el que se proyecta la reforma. Incluye la medición con distanciómetro y cinta, la comprobación de escuadras y desplomes, el croquis acotado en sitio, el registro fotográfico de cada ambiente y la anotación de patologías aparentes. Medido en superficie de inmueble realmente levantada.;m2;0.62;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;0.39;0.00;0.09;0.070 h/m²;;Coste directo 0.48 USD + margen 30%
01.02.01.050;;Actuaciones previas;Cata en techo para reconocimiento de losa.;Cata en techo o cara inferior de losa para reconocimiento de estructura. Incluye la apertura de la cata y la limpieza. Medido por metro lineal de cata.;m;5.68;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.33;2.62;0.04;1.38;0.700 h/m;;Coste directo 4.37 USD + margen 30%
01.02.01.060;;Actuaciones previas;Cata en muro para reconocimiento de espesor.;Cata en muro para reconocimiento de espesor y composición. Incluye la apertura de la cata y la limpieza. Medido por metro lineal de cata.;m;4.88;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.28;2.25;0.04;1.18;0.600 h/m;;Coste directo 3.75 USD + margen 30%
01.02.01.070;;Actuaciones previas;Ensayo de carga o prueba de estructura existente.;Realización de ensayo o prueba de carga de estructura existente. Incluye la preparación y la medición. Medido por ensayo realizado.;ud;17.02;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.55;11.75;0.13;0.66;2.500 h/ud;;Coste directo 13.09 USD + margen 30%
01.02.01.080;;Actuaciones previas;Levantamiento de patologías de paramentos.;Levantamiento de patologías de paramentos (humedades, fisuras, desprendimientos). Incluye la inspección y el registro. Medido por metro cuadrado inspeccionado.;m2;2.05;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;1.45;0.02;0.11;0.300 h/m2;;Coste directo 1.58 USD + margen 30%
01.02.01.090;;Actuaciones previas;Prueba de estanqueidad de instalación de agua.;Prueba de estanqueidad de instalación de agua existente. Incluye la presurización y la verificación. Medido por prueba realizada.;ud;9.00;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.33;5.80;0.07;0.72;1.200 h/ud;;Coste directo 6.92 USD + margen 30%
01.02.01.100;;Actuaciones previas;Detección de armadura en concreto.;Detección de armadura y recubrimiento en elemento de concreto. Incluye la medición con detector. Medido por elemento inspeccionado.;ud;3.55;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;2.18;0.03;0.52;0.450 h/ud;;Coste directo 2.73 USD + margen 30%
01.02.01.110;;Actuaciones previas;Levantamiento topográfico interior.;Levantamiento topográfico interior de la obra. Incluye la medición y el registro de cotas. Medido por metro cuadrado levantado.;m2;1.61;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;1.10;0.01;0.13;0.230 h/m2;;Coste directo 1.24 USD + margen 30%
01.02.01.120;;Actuaciones previas;Cata para localización de tubería enterrada.;Cata para localización de tubería enterrada. Incluye la apertura y la limpieza. Medido por cata realizada.;ud;7.55;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.44;3.75;0.06;1.56;1.000 h/ud;;Coste directo 5.81 USD + margen 30%
01.02.01.130;;Actuaciones previas;Diagnóstico de humedades en paramento.;Diagnóstico de humedades en paramento, con medición de humedad. Incluye la inspección y el registro. Medido por punto diagnosticado.;ud;2.87;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;1.80;0.02;0.39;0.370 h/ud;;Coste directo 2.21 USD + margen 30%
01.02.01.140;;Actuaciones previas;Levantamiento de instalaciones existentes.;Levantamiento de instalaciones existentes (eléctrica, sanitaria). Incluye la inspección y el registro. Medido por metro cuadrado levantado.;m2;1.61;01 Actuaciones previas;01.02 Inspecciones, levantamientos, catas y diagnóstico;01.02.01 Catas, detección y levantamientos;0.00;1.10;0.01;0.13;0.230 h/m2;;Coste directo 1.24 USD + margen 30%
01.03.01.010;CT-01-01-010;Actuaciones previas;Protección de piso terminado durante la ejecución de la obra.;Protección de piso existente que permanece, mediante cartón corrugado en rollo solapado y fijado con cinta en las juntas, colocado sobre lámina de polietileno cuando exista riesgo de humedad. Se emplea en reformas parciales donde el piso de las áreas que no se intervienen debe entregarse intacto. Incluye la limpieza previa de la superficie, el extendido y solape del material, el sellado de juntas y del perímetro contra el rodapié, la reposición de las zonas que se deterioren durante la obra, y el retiro y desecho de la protección al finalizar los trabajos. Medido en superficie realmente protegida.;m2;1.43;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.90;0.19;0.01;0.00;0.055 h/m²;;Coste directo 1.10 USD + margen 30%
01.03.01.020;CT-01-01-020;Actuaciones previas;Protección de mobiliario y equipos con lámina plástica.;Protección de mobiliario, electrodomésticos y equipos que permanecen en el inmueble durante la obra, mediante lámina de polietileno fijada con cinta. Incluye el agrupamiento previo del mobiliario en la zona más alejada del frente de trabajo, su cubrición completa con lámina solapada, el sellado con cinta para impedir la entrada de polvo, la revisión periódica de la protección mientras dure la obra y su retiro y desecho al finalizar. Medido en superficie de mobiliario realmente protegida.;m2;0.92;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.45;0.25;0.01;0.00;0.070 h/m²;;Coste directo 0.71 USD + margen 30%
01.03.01.030;CT-01-01-030;Actuaciones previas;Barrera antipolvo con lámina plástica y cierre de paso.;Barrera provisional de confinamiento de polvo entre la zona de obra y las áreas en uso, formada por bastidor de listón de madera y lámina de polietileno tensada y sellada en todo su perímetro contra piso, paredes y techo, con cierre tipo cremallera para el paso del personal. Es la medida que permite trabajar en un ambiente mientras el resto del inmueble sigue habitado u operativo. Incluye el replanteo, el montaje del bastidor, la colocación y sellado de la lámina, el montaje del cierre de paso, el mantenimiento de la barrera durante la obra y su desmontaje y retiro al finalizar. Medido en superficie de barrera realmente ejecutada.;m2;8.67;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;5.36;1.18;0.07;0.06;0.260 h/m²;;Coste directo 6.67 USD + margen 30%
01.03.01.040;CT-01-01-040;Actuaciones previas;Cerramiento provisional de vano con lámina de madera.;Cerramiento provisional de vano de puerta o ventana mediante lámina de madera contrachapada u OSB sobre bastidor de listón, anclada al vano. Se emplea para cerrar huecos abiertos por demolición o desmontaje de carpintería, protegiendo el interior frente a la intemperie y frente a intrusiones mientras llega la carpintería definitiva. Incluye el replanteo y corte de la lámina, el montaje del bastidor, la fijación al vano con tacos, el sellado perimetral, su mantenimiento durante la obra y el desmontaje al colocar la carpintería definitiva. Medido en superficie de vano realmente cerrada.;m2;24.66;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;16.44;2.16;0.19;0.18;0.480 h/m²;;Coste directo 18.97 USD + margen 30%
01.03.01.050;CT-01-01-050;Actuaciones previas;Cerramiento perimetral provisional de obra con malla de señalización.;Cerramiento provisional del perímetro de la zona de obra mediante malla plástica de señalización sostenida por parales metálicos o de madera, con señalización de advertencia. Delimita el área de trabajo e impide el paso de personas ajenas, requisito básico de seguridad cuando la obra convive con zonas en uso o da a espacios comunes. Incluye el replanteo, la colocación y arriostramiento de los parales, el tensado y fijación de la malla, la colocación de las señales de advertencia, el mantenimiento durante la obra y el desmontaje y retiro al finalizar. Medido en longitud realmente cerrada.;m;5.08;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;3.41;0.46;0.04;0.00;0.130 h/m;;Coste directo 3.91 USD + margen 30%
01.03.01.060;CT-01-01-060;Actuaciones previas;Protección de carpintería y aparatos que permanecen en obra.;Protección de puertas, ventanas, aparatos sanitarios y elementos terminados que permanecen dentro de la zona de trabajo, mediante lámina plástica y cartón fijados con cinta de baja adherencia que no deje residuo ni dañe los acabados. Incluye el enmascarado de marcos, herrajes y vidrios, la cubrición de los aparatos sanitarios que siguen en servicio, la reposición de la protección deteriorada y su retiro y limpieza al finalizar la obra. Medido en superficie realmente protegida.;m2;1.29;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.70;0.28;0.01;0.00;0.080 h/m²;;Coste directo 0.99 USD + margen 30%
01.03.01.070;CT-01-01-070;Actuaciones previas;Traslado y acopio protegido del mobiliario del cliente.;Traslado del mobiliario y enseres del cliente desde la zona de obra hasta un ambiente de acopio dentro del mismo inmueble, con su protección y su devolución al finalizar. En reforma de vivienda habitada es una tarea real que consume jornadas y que casi nunca se presupuesta, de modo que sale del bolsillo del constructor. Incluye el desmontaje de lo que lo requiera, el traslado con protección de pisos y esquinas en el recorrido, el apilado ordenado y cubierto en la zona de acopio, y el traslado de vuelta y montaje al terminar. Medido en superficie realmente ejecutada.;m2;2.67;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.74;1.29;0.02;0.00;0.350 h/m²;;Coste directo 2.05 USD + margen 30%
01.03.01.080;CT-01-01-080;Actuaciones previas;Protección de fachada con malla de obra.;Colocación de malla de protección en la fachada o en el andamio, para retener la caída de material y polvo hacia la vía pública o hacia las propiedades vecinas. Es exigible siempre que se trabaje en altura sobre zonas de paso, y su ausencia es motivo habitual de paralización por parte de la autoridad municipal. Incluye el izado, el tendido de los paños solapados, su atado a la estructura del andamio en todo el perímetro, la revisión periódica de amarres tras episodios de viento y el desmontaje. Medido en superficie realmente ejecutada.;m2;3.03;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;1.37;0.75;0.02;0.19;0.200 h/m²;;Coste directo 2.33 USD + margen 30%
01.03.01.090;CT-01-01-090;Actuaciones previas;Puerta provisional de acceso a la zona de obra.;Montaje de puerta provisional con cierre en el acceso a la zona de obra, para separar el área de trabajo de la zona en uso y controlar el acceso. Incluye el bastidor, el forro con lámina de madera, las bisagras y el cierre con candado, la banda de sellado perimetral que impide el paso de polvo, la señalización de acceso restringido y el desmontaje al finalizar. Medido por unidad instalada.;ud;91.31;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;58.66;10.15;0.70;0.73;2.100 h/ud;;Coste directo 70.24 USD + margen 30%
01.03.01.100;;Actuaciones previas;Protección de escalera existente.;Protección de escalera existente durante la obra. Incluye la colocación de protección en huellas y barandas. Medido por metro cuadrado protegido.;m2;2.61;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.86;1.13;0.02;0.00;0.300 h/m2;;Coste directo 2.01 USD + margen 30%
01.03.01.110;;Actuaciones previas;Protección de ventanas y vidrios.;Protección de ventanas y vidrios existentes durante la obra. Incluye la colocación de lámina protectora. Medido por metro cuadrado protegido.;m2;2.37;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.67;1.13;0.02;0.00;0.300 h/m2;;Coste directo 1.82 USD + margen 30%
01.03.01.120;;Actuaciones previas;Protección de puerta existente.;Protección de puerta existente durante la obra. Incluye el forrado con cartón o lámina. Medido por metro cuadrado protegido.;m2;2.46;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.74;1.13;0.02;0.00;0.300 h/m2;;Coste directo 1.89 USD + margen 30%
01.03.01.130;;Actuaciones previas;Protección de baranda o pasamanos existente.;Protección de baranda o pasamanos existente. Incluye el forrado con lámina. Medido por metro lineal protegido.;m;1.40;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.32;0.75;0.01;0.00;0.200 h/m;;Coste directo 1.08 USD + margen 30%
01.03.01.140;;Actuaciones previas;Protección de cielo raso existente.;Protección de cielo raso existente durante la obra. Incluye la colocación de lámina protectora. Medido por metro cuadrado protegido.;m2;2.98;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.67;1.50;0.02;0.10;0.400 h/m2;;Coste directo 2.29 USD + margen 30%
01.03.01.150;;Actuaciones previas;Protección de zócalo o rodapié existente.;Protección de zócalo o rodapié existente. Incluye el forrado con cartón. Medido por metro lineal protegido.;m;1.26;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.36;0.60;0.01;0.00;0.160 h/m;;Coste directo 0.97 USD + margen 30%
01.03.01.160;;Actuaciones previas;Protección de sanitarios y grifería existente.;Protección de sanitarios y grifería existente durante la obra. Incluye el forrado con lámina y cartón. Medido por unidad protegida.;m2;2.39;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.32;1.50;0.02;0.00;0.400 h/m2;;Coste directo 1.84 USD + margen 30%
01.03.01.170;;Actuaciones previas;Protección de mesón o mueble de cocina.;Protección de mesón o mueble de cocina existente. Incluye el forrado con cartón y lámina. Medido por metro cuadrado protegido.;m2;2.82;01 Actuaciones previas;01.03 Protección de elementos existentes;01.03.01 Protección de superficies, mobiliario y elementos;0.80;1.35;0.02;0.00;0.360 h/m2;;Coste directo 2.17 USD + margen 30%
01.04.01.010;;Actuaciones previas;Barrera antipolvo con lámina plástica.;Colocación de barrera antipolvo con lámina plástica. Incluye la fijación de la lámina y el cierre. Medido por metro cuadrado colocado.;m2;2.37;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.01 Cerramientos y barreras de polvo;0.67;1.13;0.02;0.00;0.300 h/m2;;Coste directo 1.82 USD + margen 30%
01.04.01.020;;Actuaciones previas;Cerramiento de vano con lámina de madera.;Cerramiento provisional de vano con lámina de madera. Incluye la fijación de la lámina. Medido por metro cuadrado cerrado.;m2;24.71;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.01 Cerramientos y barreras de polvo;15.45;3.08;0.19;0.29;0.650 h/m2;;Coste directo 19.01 USD + margen 30%
01.04.01.030;;Actuaciones previas;Junta de estanqueidad antipolvo en vano.;Colocación de junta de estanqueidad antipolvo en vano. Incluye la fijación de la junta. Medido por metro lineal colocado.;m;1.37;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.01 Cerramientos y barreras de polvo;0.44;0.60;0.01;0.00;0.160 h/m;;Coste directo 1.05 USD + margen 30%
01.04.01.040;;Actuaciones previas;Mampara antipolvo con puerta.;Colocación de mampara antipolvo con puerta de paso. Incluye la estructura y la lámina. Medido por metro cuadrado colocado.;m2;11.35;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.01 Cerramientos y barreras de polvo;6.06;2.35;0.09;0.23;0.500 h/m2;;Coste directo 8.73 USD + margen 30%
01.04.02.010;;Actuaciones previas;Señalización y delimitación de zona de obra.;Señalización y delimitación de la zona de obra. Incluye la colocación de señalización y cintas. Medido por metro cuadrado delimitado.;m2;3.06;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.02 Control de accesos y señalización de obra;1.58;0.75;0.02;0.00;0.200 h/m2;;Coste directo 2.35 USD + margen 30%
01.04.02.020;;Actuaciones previas;Control de acceso a zona de obra.;Instalación de control de acceso a zona de obra. Incluye la señalización y la delimitación del acceso. Medido por acceso habilitado.;m2;8.90;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.02 Control de accesos y señalización de obra;4.20;2.35;0.07;0.23;0.500 h/m2;;Coste directo 6.85 USD + margen 30%
01.04.02.030;;Actuaciones previas;Cartel informativo de obra.;Colocación de cartel informativo de obra. Incluye la fijación del cartel. Medido por unidad colocado.;ud;9.17;01 Actuaciones previas;01.04 Cerramientos, barreras de polvo y control de accesos;01.04.02 Control de accesos y señalización de obra;5.50;1.33;0.07;0.15;0.350 h/ud;;Coste directo 7.05 USD + margen 30%
01.05.01.010;CT-01-02-010;Actuaciones previas;Andamio tubular de fachada, montaje, alquiler mensual y desmontaje.;Andamio tubular metálico apoyado en fachada, con plataformas de trabajo, barandas, rodapiés y escalera interior de acceso, incluido su montaje, el primer mes de permanencia y su desmontaje. Incluye el estudio previo del apoyo y del arriostramiento a fachada, el montaje por personal competente, la colocación de las protecciones colectivas, la revisión del conjunto antes de la puesta en servicio y tras cualquier modificación, el desmontaje ordenado y el retiro del material. No incluye la permanencia adicional más allá del primer mes, que se valora en la partida siguiente. Medido en superficie de fachada realmente cubierta por el andamio.;m2;10.97;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;0.49;2.93;0.08;4.94;0.680 h/m²;;Coste directo 8.44 USD + margen 30%
01.05.01.020;CT-01-02-020;Actuaciones previas;Permanencia adicional de andamio de fachada, por mes.;Permanencia de andamio tubular de fachada más allá del primer mes ya incluido en la partida de montaje, con las revisiones periódicas del conjunto que exige mantenerlo en servicio. Incluye la inspección mensual de apoyos, arriostramientos, plataformas y protecciones colectivas, el reapriete de uniones, la reposición de los elementos deteriorados y el registro de las revisiones. Medido en superficie de andamio por cada mes adicional de permanencia.;m2;2.59;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;0.00;0.26;0.02;1.71;0.060 h/m²;;Coste directo 1.99 USD + margen 30%
01.05.01.030;CT-01-02-030;Actuaciones previas;Andamio interior móvil o sobre borriquetas.;Andamio interior rodante o plataforma sobre borriquetas para trabajos en altura en interiores, tales como cielos rasos, frisos de pared alta y pintura. Incluye el traslado del equipo a obra, su montaje y nivelación, la colocación de barandas cuando la altura de trabajo lo exija, los desplazamientos y ajustes de altura sucesivos a lo largo de la jornada, el desmontaje y el retiro. Medido en superficie de techo o de paramento realmente atendida desde el andamio.;m2;1.81;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;0.00;0.34;0.01;1.04;0.090 h/m²;;Coste directo 1.39 USD + margen 30%
01.05.01.040;CT-01-02-040;Actuaciones previas;Montacargas o pluma de obra para bajada de material, por mes.;Puesta a disposición de montacargas o pluma de obra para el descenso de escombro y la subida de materiales en obras en planta alta, incluido un mes de permanencia. Incluye el traslado del equipo, su montaje y anclaje, la verificación de la carga máxima admisible y del punto de apoyo, la señalización y acordonamiento de la zona de descarga, la revisión periódica de cables y frenos, el desmontaje y el retiro. Medido por mes de permanencia del equipo en obra.;ud;155.60;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;11.00;31.50;1.19;76.00;7.000 h/ud;;Coste directo 119.69 USD + margen 30%
01.05.01.050;CT-01-02-050;Actuaciones previas;Andamio colgante o silleta para trabajos en fachada.;Puesta a disposición de andamio colgante o silleta suspendida para trabajos puntuales en fachada donde no se justifica el montaje de andamio tubular. Su seguridad depende por completo de los puntos de anclaje en cubierta y del uso obligatorio de línea de vida independiente del equipo de suspensión, requisito que no admite excepción. Incluye el estudio y ejecución de los anclajes, el montaje del equipo, la prueba de carga previa, la revisión diaria de cables y frenos, el uso durante el periodo y el desmontaje. Medido en superficie realmente ejecutada.;m2;8.67;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;3.18;1.71;0.07;1.71;0.360 h/m²;;Coste directo 6.67 USD + margen 30%
01.05.01.060;;Actuaciones previas;Andamio tubular de fachada con plataforma.;Montaje, alquiler y desmontaje de andamio tubular de fachada con plataformas. Incluye el montaje, la permanencia y el desmontaje. Medido por metro cuadrado montado.;m2;10.63;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;4.45;2.70;0.08;0.95;0.600 h/m2;;Coste directo 8.18 USD + margen 30%
01.05.01.070;;Actuaciones previas;Andamio colgante para trabajos en fachada.;Montaje y uso de andamio colgante o silleta para trabajos en fachada. Incluye el montaje y la operación. Medido por metro cuadrado de fachada atendida.;m2;9.45;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;2.64;3.42;0.07;1.14;0.750 h/m2;;Coste directo 7.27 USD + margen 30%
01.05.01.080;;Actuaciones previas;Andamio interior móvil.;Montaje y uso de andamio interior móvil o sobre borriquetas. Incluye el montaje y la operación. Medido por metro cuadrado de superficie atendida.;m2;5.67;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;1.76;1.80;0.04;0.76;0.400 h/m2;;Coste directo 4.36 USD + margen 30%
01.05.01.090;;Actuaciones previas;Andamio de borriquetas para interior.;Montaje y uso de andamio de borriquetas para trabajos interiores. Incluye el montaje y la operación. Medido por metro cuadrado de superficie atendida.;m2;4.73;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;1.32;1.62;0.04;0.66;0.360 h/m2;;Coste directo 3.64 USD + margen 30%
01.05.01.100;;Actuaciones previas;Andamio de fachada con red de seguridad.;Montaje de andamio de fachada con red de seguridad. Incluye el andamio y la red. Medido por metro cuadrado montado.;m2;11.87;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;5.28;2.81;0.09;0.95;0.620 h/m2;;Coste directo 9.13 USD + margen 30%
01.05.01.110;;Actuaciones previas;Andamio de fachada con protección de malla.;Montaje de andamio de fachada con malla de protección. Incluye el andamio y la malla. Medido por metro cuadrado montado.;m2;9.13;01 Actuaciones previas;01.05 Andamios y medios de elevación;01.05.01 Andamios y medios de elevación;3.19;2.81;0.07;0.95;0.620 h/m2;;Coste directo 7.02 USD + margen 30%
